model_id,project_path,status,notes
mlx_indextts2_v25_8bit,/Users/vanch/mlx-indextts2,scored,"adapter=indextts; checkpoint=models/mlx-IndexTTS-2.5-8bit; languages=ar,en,es,ja,zh; capabilities=clone,control,cross_lingual_clone,duration,emotion,long_text,multilingual,text_tts"
mlx_indextts2_vietnamese_8bit,/Users/vanch/mlx-indextts2,scored,"adapter=indextts_vi; checkpoint=models/mlx-indexTTS2-vietnamese-8bit; languages=vi; capabilities=clone,text_tts,vietnamese"
mlx_voxcpm2_bf16_dit,/Users/vanch/mlx-voxcpm2,scored,"adapter=voxcpm2; checkpoint=models/VoxCPM2-official-mlx-int8-components; languages=ar,da,de,el,en,es,fi,fil,fr,he,hi,id,it,ja,km,ko,lo,ms,my,nl,no,pl,pt,ru,sv,sw,th,tr,vi,yue,zh,zh_dongbei,zh_henan,zh_minnan,zh_shaanxi,zh_shandong,zh_shanghai,zh_sichuan,zh_tianjin; capabilities=clone,control,cross_lingual_clone,dialect,emotion,multilingual,singing,style_transfer,text_tts,voice_design"
mlx_qwen3_tts_official_int8,/Users/vanch/mlx-qwen3-tts,scored,"adapter=qwen_tts; checkpoint=models/Qwen3-TTS-official-mlx-int8; languages=de,en,es,fr,it,ja,ko,pt,ru,zh; capabilities=clone,dialect_clone,multilingual,official_lineage,streaming,text_tts"
mlx_qwen3_tts_voice_design_official_int8,/Users/vanch/mlx-qwen3-tts,scored,"adapter=qwen_voice_design; checkpoint=models/Qwen3-TTS-VoiceDesign-official-mlx-int8; languages=de,en,es,fr,it,ja,ko,pt,ru,zh; capabilities=emotion,official_lineage,voice_design"
mlx_qwen3_tts_custom_voice_official_int8,/Users/vanch/mlx-qwen3-tts,scored,"adapter=qwen_custom_voice; checkpoint=models/Qwen3-TTS-CustomVoice-official-mlx-int8; languages=de,en,es,fr,it,ja,ko,pt,ru,zh,zh_beijing,zh_sichuan; capabilities=custom_voice,dialect,emotion,official_lineage"
mlx_omnivoice_8bit_trim60,/Users/vanch/mlx-omnivoice,scored,"adapter=omnivoice; checkpoint=models/OmniVoice-8bit; languages=ar,de,en,es,fil,fr,id,it,ja,km,ko,lo,ms,my,pt,ru,sw,th,tr,vi,yue,zh; capabilities=clone,control_tokens,cross_lingual_clone,dialect,duration,instruction,multilingual,text_tts,voice_design"
mlx_dots_tts_full_int8_g64,/Users/vanch/mlx-dots.tts,scored,"adapter=dots; checkpoint=models/mlx-dots-tts-mf-bf16; languages=ar,cs,de,el,en,es,fi,fr,hi,id,it,ja,ko,nl,pl,pt,ro,ru,th,tr,uk,vi,yue,zh; capabilities=clone,continuation,cross_lingual_clone,emotion_prompt,long_text,multilingual,style_transfer,text_tts"
mlx_higgs_audio_v3_4b,/Users/vanch/mlx-higgs-audio,scored,"adapter=higgs; checkpoint=models/higgs-audio-v3-tts-4b-mlx; languages=ar,de,en,es,fr,hi,id,it,ja,ko,pt,ru,sw,vi,zh; capabilities=clone,control_tokens,cross_lingual_clone,emotion,long_text,multilingual,singing,streaming,style_transfer,text_tts"
mlx_scenema_audio_int8_mlx_mps_service,/Users/vanch/mlx-scenema-audio,missing_checkpoint_or_project,"adapter=scenema_audio; checkpoint=models/scenema-audio-transformer-int8.safetensors; languages=de,en,es,fr,hi,it,ja,ko,pt,ru,sw,zh; capabilities=action_tags,clone,cross_lingual_clone,emotion,long_text,multilingual,scene_sfx,singing,text_tts,voice_design"
mlx_supertonic3_mlx,/Users/vanch/mlx-supertonic,scored,"adapter=supertonic; checkpoint=assets/mlx; languages=ar,bg,cs,da,de,el,en,es,et,fi,fr,hi,hr,hu,id,it,ja,ko,lt,lv,nl,pl,pt,ro,ru,sk,sl,sv,tr,uk,vi; capabilities=fixed_voice_style,long_text,multilingual,text_tts"
mlx_ming_omni_tts_16_8b_a3b_bf16,/Users/vanch/mlx-Ming-omni-tts,missing_checkpoint_or_project,"adapter=ming_omni; checkpoint=mlx_models/Ming-omni-tts-16.8B-A3B-bf16; languages=en,yue,zh,zh_sichuan; capabilities=clone,dialect,emotion,long_text,singing,text_tts,unified_audio,voice_design"
mlx_zonos2_bf16,/Users/vanch/mlx-ZONOS2,missing_checkpoint_or_project,"adapter=zonos2; checkpoint=models/Zyphra-ZONOS2-mlx; languages=ar,da,de,en,en_gb,en_us,es,fi,fr,he,hi,it,ja,ko,nl,no,pl,pt,ru,sv,ta,te,th,tr,uk,vi,zh; capabilities=clone,cross_lingual_clone,emotion,long_text,multilingual,speaking_rate,text_tts"
